Service Name,URL,Department
ATAS,https://www.academic-technology-approval.service.gov.uk/,"Foreign, Commonwealth & Development Office"
Get your State Pension,https://www.gov.uk/get-state-pension,Department for Work & Pensions
Budgeting Loans Digital Service (BLDS),https://www.apply-budgeting-loan.service.gov.uk,Department for Work & Pensions
Apply for New Style Jobseekers Allowance,https://www.apply-for-new-style-jsa.dwp.gov.uk/,Department for Work & Pensions
Contact an Embassy Service,https://www.contact-embassy.service.gov.uk,Department for Work & Pensions
Access to Work,https://www.get-disability-work-support.service.gov.uk/apply/,Department for Work & Pensions
Project Application and Funding Service,https://submit-flood-coastal-erosion-funding-proposal.service.gov.uk/users/sign_in,Environment Agency
Send Us Your FitNote,https://send-fit-note.service.gov.uk/device?lang=en,Department for Work & Pensions
Supplier Cyber Protection,https://www.gov.uk/guidance/supplier-cyber-protection-service,Ministry of Defence
